AnzscoCode,Level,Date,NoOfVacancies,State,Title
85,3,01/04/2006,61.12,TAS,Food Preparation Assistants
89,3,01/04/2006,416.87,TAS,Other Labourers
0,1,01/04/2006,2576.74,NT,NT TOTAL
1,2,01/04/2006,236.6,NT,MANAGERS
11,3,01/04/2006,7.2,NT,"Chief Executives, Managing Directors & Legislators"
12,3,01/04/2006,0.31,NT,Farmers and Farm Managers
14,3,01/04/2006,72.45,NT,"Hospitality, Retail and Service Managers"
1A,3,01/04/2006,59.59,NT,Corporate Managers
1B,3,01/04/2006,77.61,NT,"Construction, Production and Distribution Managers"
1C,3,01/04/2006,20.58,NT,"Health, Education, ICT and Other Managers"
2,2,01/04/2006,347.89,NT,PROFESSIONALS
21,3,01/04/2006,8.53,NT,Arts and Media Professionals
24,3,01/04/2006,35.06,NT,Education Professionals
26,3,01/04/2006,20.22,NT,ICT Professionals
27,3,01/04/2006,46,NT,"Legal, Social and Welfare Professionals"
